"","G","rho","var_entry_day","var_RLS","PopSize","assortative","iter","var_env_entry","var_env_RLS","OMEGA","Nc","meanK","varK","S","Ne","Ne_N","Nm","Nf","sex_ratio","mean_entry_day","sd_entry_day","mean_RLS","sd_RLS","Nb","breeders","sim"
"23",4,-0.3,10,20,"variable",FALSE,100,20,1,2,206,2.30097087378641,1.87970636987923,237,222.86335561959,1.08186094960966,92,114,0.807017543859649,10.1601941747573,4.43803603686938,8.4126213592233,5.28501202641455,222.86335561959,189,"AM"
"24",5,-0.3,10,20,"variable",FALSE,100,20,1,2,237,0.936708860759494,1.00021454623471,111,219.013242204186,0.924106507190659,114,123,0.926829268292683,10.4388185654008,4.39971246614351,8.71308016877637,4.85837100911301,219.013242204186,140,"AM"
"25",6,-0.3,10,20,"variable",FALSE,100,20,1,2,111,2.18018018018018,2.4036036036036,121,105.140516139133,0.947211857109308,44,67,0.656716417910448,10.3333333333333,4.67747665721464,8.61261261261261,4.88815111202807,105.140516139133,98,"AM"
"26",7,-0.3,10,20,"variable",FALSE,100,20,1,2,121,1.35537190082645,1.64765840220386,82,103.117568251002,0.852211307859517,65,56,1.16071428571429,10.900826446281,4.73885527435633,9.10743801652893,4.87647696069707,103.117568251002,82,"AM"
"27",8,-0.3,10,20,"variable",FALSE,100,20,1,2,82,NA,NA,NA,NA,NA,48,34,1.41176470588235,10.8170731707317,4.3351222768307,9.98780487804878,5.02707214800131,NA,NA,"AM"
"28",0,-0.3,10,20,"variable",FALSE,11,20,1,2,500,2.676,2.7445130260521,669,494.52125691272,0.989042513825439,250,250,1,9.856,3.16532819865657,6.674,4.0813034775856,494.52125691272,465,"AM"
"29",1,-0.3,10,20,"variable",FALSE,11,20,1,2,669,0.986547085201794,1.00131575414194,330,657.003230779543,0.982067609535938,334,335,0.997014925373134,10.2107623318386,4.00771757568858,7.40807174887892,4.70723681812486,657.003230779543,417,"AM"
"30",2,-0.3,10,20,"variable",FALSE,11,20,1,2,330,1.9030303030303,1.91154094132818,314,328.177821620348,0.994478247334389,167,163,1.02453987730061,10.230303030303,4.32160648169932,8.13939393939394,4.94762473445926,328.177821620348,275,"AM"
"31",3,-0.3,10,20,"variable",FALSE,11,20,1,2,314,1.96815286624204,1.85201766345821,309,322.657413218568,1.02757137967697,159,155,1.0258064516129,10.5891719745223,4.22377387721661,8.61146496815287,4.84672371343363,322.657413218568,265,"AM"
"32",4,-0.3,10,20,"variable",FALSE,11,20,1,2,309,1.042071197411,0.969003488420964,161,329.233882114502,1.06548181914078,150,159,0.943396226415094,11.1294498381877,3.95297931635874,8.77993527508091,4.85873012600572,329.233882114502,201,"AM"
"33",5,-0.3,10,20,"variable",FALSE,11,20,1,2,161,2.40993788819876,2.36840062111801,194,161.323888124368,1.00201172748055,75,86,0.872093023255814,11.360248447205,4.27134755526733,9.00621118012422,4.81857978870582,161.323888124368,146,"AM"
"34",6,-0.3,10,20,"variable",FALSE,11,20,1,2,194,1.80412371134021,2.0339725442017,175,180.16846038316,0.928703404036905,99,95,1.04210526315789,11.6134020618557,4.5718247026893,9.26288659793815,4.87968867578307,180.16846038316,157,"AM"
"35",7,-0.3,10,20,"variable",FALSE,11,20,1,2,175,1.33714285714286,1.31671592775041,117,175.509428377225,1.00291101929843,96,79,1.21518987341772,12.0914285714286,4.81170575942367,8.97142857142857,4.65527580010476,175.509428377225,128,"AM"
"36",8,-0.3,10,20,"variable",FALSE,11,20,1,2,117,1.48717948717949,1.64854111405836,87,107.790949953904,0.92129017054619,61,56,1.08928571428571,11.4358974358974,4.49402786730885,9.60683760683761,4.68113835432864,107.790949953904,90,"AM"
"37",9,-0.3,10,20,"variable",FALSE,11,20,1,2,87,NA,NA,NA,NA,NA,40,47,0.851063829787234,11.632183908046,4.54464914737775,9.63218390804598,4.55997486358009,NA,NA,"AM"
"38",0,-0.3,10,20,"variable",FALSE,12,20,1,2,500,2.596,2.40960320641283,649,513.430310530689,1.02686062106138,250,250,1,9.922,3.01564324952685,6.466,4.12150671906168,513.430310530689,473,"AM"
"39",1,-0.3,10,20,"variable",FALSE,12,20,1,2,649,0.351309707241911,0.348613251155624,114,657.675967216177,1.01336820834542,311,338,0.920118343195266,10.1463790446841,3.75135654286006,7.59476117103236,4.53321455930692,657.675967216177,191,"AM"
"40",2,-0.3,10,20,"variable",FALSE,12,20,1,2,114,1.66666666666667,1.53392330383481,95,118.460966542751,1.03913128546273,63,51,1.23529411764706,9.70175438596491,4.7166243826977,7.85964912280702,5.01480497151628,118.460966542751,93,"AM"
"41",3,-0.3,10,20,"variable",FALSE,12,20,1,2,95,1.53684210526316,1.31511758118701,73,103.405985005541,1.0884840526899,45,50,0.9,9.77894736842105,4.14928588413287,8.27368421052632,4.82555719473323,103.405985005541,74,"AM"
"42",4,-0.3,10,20,"variable",FALSE,12,20,1,2,73,1.91780821917808,1.77092846270928,70,74.9502673370514,1.02671599091851,37,36,1.02777777777778,9.46575342465753,4.49716636641842,8.86301369863014,4.56531326810339,74.9502673370514,64,"AM"
"43",5,-0.3,10,20,"variable",FALSE,12,20,1,2,70,1.42857142857143,1.23395445134576,50,75.8314642742711,1.08330663248959,41,29,1.41379310344828,9.68571428571429,3.89553016667861,8.74285714285714,4.68635303427994,75.8314642742711,55,"AM"
"44",6,-0.3,10,20,"variable",FALSE,12,20,1,2,50,NA,NA,NA,NA,NA,25,25,1,9.46,3.94456484757631,10,4.7979587496419,NA,NA,"AM"
"45",0,-0.3,10,20,"variable",FALSE,13,20,1,2,500,2.012,2.20426452905812,503,476.380515263395,0.95276103052679,250,250,1,10.242,3.14184314642113,6.67,4.08883077103324,476.380515263395,434,"AM"
"46",1,-0.3,10,20,"variable",FALSE,13,20,1,2,503,0.842942345924453,0.738231962804844,212,587.153107923259,1.16730240143789,244,259,0.942084942084942,10.2982107355865,3.95725879752156,7.77733598409543,4.63037383082453,587.153107923259,300,"AM"
"47",2,-0.3,10,20,"variable",FALSE,13,20,1,2,212,2.22641509433962,2.3371188410981,236,206.490119450868,0.974009997409756,109,103,1.05825242718447,10.4292452830189,4.08902048505859,8.53301886792453,5.02636125153395,206.490119450868,185,"AM"
"48",3,-0.3,10,20,"variable",FALSE,13,20,1,2,236,1.58474576271186,1.55448972232239,187,237.60043248234,1.00678149356924,125,111,1.12612612612613,10.5084745762712,3.92860922326695,9.26271186440678,5.20299090107071,237.60043248234,188,"AM"
"49",4,-0.3,10,20,"variable",FALSE,13,20,1,2,187,1.58288770053476,1.44873785291243,148,196.243652471202,1.04943129663744,92,95,0.968421052631579,10.8021390374332,4.31655922836262,8.72727272727273,5.28900813367905,196.243652471202,152,"AM"
"50",5,-0.3,10,20,"variable",FALSE,13,20,1,2,148,1.74324324324324,1.89281117852546,129,139.963988506307,0.945702625042614,66,82,0.804878048780488,10.277027027027,4.50369605725512,8.92567567567568,4.91158732148245,139.963988506307,122,"AM"
"51",6,-0.3,10,20,"variable",FALSE,13,20,1,2,129,1.37984496124031,1.59677810077519,89,114.504272372904,0.887630018394601,63,66,0.954545454545455,10.0387596899225,4.43600872965917,8.86046511627907,4.66661043017057,114.504272372904,94,"AM"
"52",7,-0.3,10,20,"variable",FALSE,13,20,1,2,89,1.48314606741573,1.25255362614913,66,97.9158342913845,1.10017791338634,48,41,1.17073170731707,10.4719101123596,4.06786153235012,9.20224719101124,5.05690296723404,97.9158342913845,70,"AM"
"53",8,-0.3,10,20,"variable",FALSE,13,20,1,2,66,NA,NA,NA,NA,NA,39,27,1.44444444444444,10.2878787878788,4.21267374082305,9.66666666666667,5.3989552645598,NA,NA,"AM"
"54",0,-0.3,10,20,"variable",FALSE,14,20,1,2,500,1.572,1.63208016032064,393,486.890313274883,0.973780626549765,250,250,1,9.988,3.08202104266256,6.41,3.99271631438226,486.890313274883,401,"AM"
"55",1,-0.3,10,20,"variable",FALSE,14,20,1,2,393,1.66921119592875,1.78825881497637,328,375.747426624679,0.9561003222002,197,196,1.00510204081633,9.91094147582697,3.7211073866244,7.56488549618321,4.42240221793106,375.747426624679,315,"AM"
"56",2,-0.3,10,20,"variable",FALSE,14,20,1,2,328,1.3780487804878,1.56918027895875,226,296.687782722724,0.904535922935135,179,149,1.20134228187919,10.1646341463415,4.07390057816678,8.19512195121951,4.94975123556234,296.687782722724,239,"AM"
"57",3,-0.3,10,20,"variable",FALSE,14,20,1,2,226,1.95575221238938,1.91803343166175,221,227.218019020191,1.00538946469111,114,112,1.01785714285714,10.6902654867257,4.1410243413762,8.05752212389381,4.70472680155672,227.218019020191,191,"AM"
"58",4,-0.3,10,20,"variable",FALSE,14,20,1,2,221,2.03619909502262,2.0986836692719,225,216.751193760087,0.980774632398583,106,115,0.921739130434783,10.2533936651584,4.05855435231401,8.5972850678733,4.91341316797967,216.751193760087,183,"AM"
"59",5,-0.3,10,20,"variable",FALSE,14,20,1,2,225,2.04444444444444,1.7390873015873,230,241.677817444376,1.07412363308612,107,118,0.906779661016949,10.24,4.19238254797572,9.19555555555556,4.76941312818481,241.677817444376,204,"AM"
"60",6,-0.3,10,20,"variable",FALSE,14,20,1,2,230,1.53913043478261,1.2713878868426,177,257.842701064638,1.12105522202017,113,117,0.965811965811966,10.4608695652174,4.57787913847594,9.3695652173913,5.11167298284046,257.842701064638,190,"AM"
"61",7,-0.3,10,20,"variable",FALSE,14,20,1,2,177,1.34463276836158,1.10214432460195,119,202.69781793606,1.14518541206814,88,89,0.98876404494382,10.090395480226,4.6027126835435,9.82485875706215,5.16080652472256,202.69781793606,135,"AM"
"62",8,-0.3,10,20,"variable",FALSE,14,20,1,2,119,1.22689075630252,1.07520296254095,73,130.52288380409,1.09683095633689,58,61,0.950819672131147,10.6050420168067,4.54211644723619,9.94117647058824,5.39820139168634,130.52288380409,87,"AM"
"63",9,-0.3,10,20,"variable",FALSE,14,20,1,2,73,1.36986301369863,1.31963470319635,50,73.5075521457684,1.00695276912011,36,37,0.972972972972973,10.8904109589041,4.76841938590538,8.94520547945205,5.04394689746175,73.5075521457684,52,"AM"
"64",10,-0.3,10,20,"variable",FALSE,14,20,1,2,50,NA,NA,NA,NA,NA,21,29,0.724137931034483,11.8,4.59813626840888,9.08,4.69406920638008,NA,NA,"AM"
"65",0,-0.3,10,20,"variable",FALSE,15,20,1,2,500,2.552,2.55240080160321,638,499.18558030875,0.998371160617499,250,250,1,10.16,3.12569030451827,6.414,4.12269295417313,499.18558030875,465,"AM"
"66",1,-0.3,10,20,"variable",FALSE,15,20,1,2,638,1.87774294670846,1.87827935611187,599,636.838007258798,0.998178694763007,318,320,0.99375,10.3009404388715,3.95743035329195,7.67398119122257,4.70047729427493,636.838007258798,537,"AM"
"67",2,-0.3,10,20,"variable",FALSE,15,20,1,2,599,1.13522537562604,1.07031228189681,340,628.916479464129,1.04994403917217,311,288,1.07986111111111,10.2086811352254,4.12288556492086,8.27212020033389,4.80952309349539,628.916479464129,423,"AM"
"68",3,-0.3,10,20,"variable",FALSE,15,20,1,2,340,1.79411764705882,2.12267916015964,305,307.49774165448,0.904405122513176,174,166,1.04819277108434,10.0235294117647,4.02272738190185,8.64411764705882,4.8450742055117,307.49774165448,282,"AM"
"69",4,-0.3,10,20,"variable",FALSE,15,20,1,2,305,1.92131147540984,1.91484037963762,293,304.492820723324,0.998337117125651,170,135,1.25925925925926,10.0754098360656,4.46965851963433,8.59016393442623,5.24209005995903,304.492820723324,260,"AM"
"70",5,-0.3,10,20,"variable",FALSE,15,20,1,2,293,1.01706484641638,1.03737902660246,149,285.428255565185,0.974157868823157,146,147,0.993197278911565,9.79863481228669,4.21637360169351,8.94539249146758,4.99970077182141,285.428255565185,190,"AM"
"71",6,-0.3,10,20,"variable",FALSE,15,20,1,2,149,2.14765100671141,2.12670052602938,160,148.74437720638,0.998284410781075,70,79,0.886075949367089,9.34228187919463,3.96227448344627,8.73154362416107,4.94514623138419,148.74437720638,134,"AM"
"72",7,-0.3,10,20,"variable",FALSE,15,20,1,2,160,1.075,0.962893081761006,86,175.128733458645,1.09455458411653,75,85,0.882352941176471,9.54375,4.08070606019173,9.175,5.02891013112367,175.128733458645,109,"AM"
"73",8,-0.3,10,20,"variable",FALSE,15,20,1,2,86,NA,NA,NA,NA,NA,36,50,0.72,9.76744186046512,4.01079255364133,8.81395348837209,5.24799486169713,NA,NA,"AM"
"74",0,-0.3,10,20,"variable",FALSE,16,20,1,2,500,2.364,2.35621643286573,591,499.850159555267,0.999700319110535,250,250,1,9.878,3.23729457298909,6.24,4.03471906281363,499.850159555267,457,"AM"
"75",1,-0.3,10,20,"variable",FALSE,16,20,1,2,591,2.13536379018613,2.11384897760188,631,592.860739526825,1.00314845943625,295,296,0.996621621621622,9.91878172588832,3.92257730970095,7.5414551607445,4.51489706483292,592.860739526825,527,"AM"
"76",2,-0.3,10,20,"variable",FALSE,16,20,1,2,631,1.92076069730586,1.86355243629412,606,639.881025395714,1.01407452519131,288,343,0.839650145772595,9.9904912836767,3.9900556840014,8.23454833597464,4.80199807062425,639.881025395714,530,"AM"
"77",3,-0.3,10,20,"variable",FALSE,16,20,1,2,606,1.97689768976898,2.08211002918474,599,589.128135966925,0.972158640209448,292,314,0.929936305732484,9.80693069306931,3.98932685369372,8.57755775577558,4.94863780997809,589.128135966925,513,"AM"
"78",4,-0.3,10,20,"variable",FALSE,16,20,1,2,599,1.89315525876461,1.81465206782765,567,611.333956897513,1.02059091301755,301,298,1.01006711409396,9.93489148580968,4.06725663500937,8.98998330550918,4.88700753445923,611.333956897513,506,"AM"
"79",5,-0.3,10,20,"variable",FALSE,16,20,1,2,567,1.90123456790123,1.67220695371461,539,604.232324559548,1.06566547541366,298,269,1.10780669144981,10.1816578483245,3.95162650272024,9.11463844797178,4.83098591523705,604.232324559548,493,"AM"
"80",6,-0.3,10,20,"variable",FALSE,16,20,1,2,539,1.80333951762523,1.57835313916036,486,577.869887882475,1.07211481981906,285,254,1.12204724409449,10.2597402597403,4.36819281655417,9.30241187384044,5.09386008140481,577.869887882475,464,"AM"
"81",7,-0.3,10,20,"variable",FALSE,16,20,1,2,486,1.23045267489712,1.0972975266217,299,531.082454531657,1.09276225212275,240,246,0.975609756097561,10.4094650205761,4.34528218174379,9.31275720164609,5.1293497317715,531.082454531657,352,"AM"
"82",8,-0.3,10,20,"variable",FALSE,16,20,1,2,299,1.25752508361204,1.19855895490561,188,308.928921749796,1.03320709615316,155,144,1.07638888888889,10.371237458194,4.75359018053704,9.58862876254181,5.60452877093789,308.928921749796,219,"AM"
"83",9,-0.3,10,20,"variable",FALSE,16,20,1,2,188,1.77659574468085,1.62896802821709,167,196.0437075678,1.04278567855213,90,98,0.918367346938776,9.88829787234043,4.42323366076782,9.76063829787234,5.29767819358665,196.0437075678,161,"AM"
"84",10,-0.3,10,20,"variable",FALSE,16,20,1,2,167,2.02395209580838,1.90303729889618,169,171.061124320283,1.02431810970229,80,87,0.919540229885057,9.91616766467066,4.30524081530212,10.3053892215569,5.15157313071337,171.061124320283,145,"AM"
"85",11,-0.3,10,20,"variable",FALSE,16,20,1,2,169,NA,NA,NA,NA,NA,90,79,1.13924050632911,9.88165680473373,4.7066525462413,10.4023668639053,5.32549967097569,NA,NA,"AM"
"86",0,-0.3,10,20,"variable",FALSE,17,20,1,2,500,1.984,2.09593587174349,496,485.194393504394,0.970388787008789,250,250,1,10.26,3.14518431395323,6.526,4.18525467724807,485.194393504394,429,"AM"
"87",1,-0.3,10,20,"variable",FALSE,17,20,1,2,496,1.42338709677419,1.43654284783317,353,491.404036678923,0.990733944917184,235,261,0.900383141762452,10.4233870967742,3.86046752537822,7.19758064516129,4.72103333509296,491.404036678923,375,"AM"
"88",2,-0.3,10,20,"variable",FALSE,17,20,1,2,353,2.03399433427762,1.79429564769508,359,373.666326155232,1.05854483330094,172,181,0.950276243093923,10.271954674221,4.16556921764969,8.44475920679887,5.16191604790352,373.666326155232,309,"AM"
"89",3,-0.3,10,20,"variable",FALSE,17,20,1,2,359,2.18384401114206,1.93817400911906,392,377.531614080129,1.05162009493072,176,183,0.961748633879781,10.5292479108635,4.05804356669646,8.53760445682451,5.19809869082275,377.531614080129,328,"AM"
"90",4,-0.3,10,20,"variable",FALSE,17,20,1,2,392,0.459183673469388,0.453572733441203,90,398.242103009582,1.0159237321673,207,185,1.11891891891892,10.5892857142857,4.3164098347924,8.98214285714286,5.06653303879962,398.242103009582,150,"AM"
"91",5,-0.3,10,20,"variable",FALSE,17,20,1,2,90,2.04444444444444,2.53732833957553,92,79.6314565753818,0.884793961948687,47,43,1.09302325581395,11.3888888888889,4.36712551553244,7.9,4.64479895187841,79.6314565753818,80,"AM"
"92",6,-0.3,10,20,"variable",FALSE,17,20,1,2,92,NA,NA,NA,NA,NA,43,49,0.877551020408163,11.195652173913,4.28705983018404,8.6195652173913,4.61684062875299,NA,NA,"AM"
"93",0,-0.3,10,20,"variable",FALSE,18,20,1,2,500,2.664,2.25561523046092,666,529.732234561238,1.05946446912248,250,250,1,9.746,3.25063335897313,6.758,4.22458640111917,529.732234561238,473,"AM"
"94",1,-0.3,10,20,"variable",FALSE,18,20,1,2,666,2.06306306306306,2.10428774639301,687,658.65105197978,0.988965543513183,335,331,1.01208459214502,9.77627627627628,3.96292311896975,7.72672672672673,4.75951982544652,658.65105197978,578,"AM"
"95",2,-0.3,10,20,"variable",FALSE,18,20,1,2,687,1.43813682678311,1.3981352990354,494,699.131120762506,1.01765810882461,343,344,0.997093023255814,9.93449781659389,4.18522536702728,8.18486171761281,4.82152646338463,699.131120762506,520,"AM"
"96",3,-0.3,10,20,"variable",FALSE,18,20,1,2,494,1.90688259109312,1.87366450140017,471,497.495983934372,1.00707689055541,243,251,0.968127490039841,9.80971659919028,4.23069853115403,8.91902834008097,5.15770778166632,497.495983934372,420,"AM"
"97",4,-0.3,10,20,"variable",FALSE,18,20,1,2,471,1.59660297239915,1.67947779735285,376,454.956309353534,0.965936962534043,234,237,0.987341772151899,9.79830148619958,4.04807247043997,9.23354564755839,4.98258882953314,454.956309353534,363,"AM"
"98",5,-0.3,10,20,"variable",FALSE,18,20,1,2,376,1.82978723404255,2.1096170212766,344,345.98979005119,0.92018561183827,171,205,0.834146341463415,10.1063829787234,4.0568443173978,9.29521276595745,4.94994447995227,345.98979005119,308,"AM"
"99",6,-0.3,10,20,"variable",FALSE,18,20,1,2,344,1.62209302325581,1.61187199132145,279,344.103720944556,1.00030151437371,154,190,0.810526315789474,10.3081395348837,4.08486405071635,9.31976744186047,5.13174126967432,344.103720944556,276,"AM"
"100",7,-0.3,10,20,"variable",FALSE,18,20,1,2,279,1.74910394265233,1.85049379850958,244,268.943547310855,0.963955366705572,148,131,1.12977099236641,10.7670250896057,3.89237246679086,9.48745519713262,5.28323876481151,268.943547310855,230,"AM"
"101",8,-0.3,10,20,"variable",FALSE,18,20,1,2,244,1.5655737704918,1.75288403157256,191,225.490251928535,0.924140376756289,114,130,0.876923076923077,10.8852459016393,4.16767241454045,9.5,4.99341129675904,225.490251928535,190,"AM"
"102",9,-0.3,10,20,"variable",FALSE,18,20,1,2,191,1.4869109947644,1.46166988151006,142,191.84515795841,1.00442491077702,88,103,0.854368932038835,11.1780104712042,4.4944103553186,9.01047120418848,4.98311837348527,191.84515795841,149,"AM"
"103",10,-0.3,10,20,"variable",FALSE,18,20,1,2,142,1.57746478873239,1.69253820797123,112,134.511776302137,0.947266030296742,70,72,0.972222222222222,11.1619718309859,3.86039597414761,9.13380281690141,5.38217292884764,134.511776302137,111,"AM"
"104",11,-0.3,10,20,"variable",FALSE,18,20,1,2,112,NA,NA,NA,NA,NA,59,53,1.11320754716981,11.7589285714286,3.96208502692935,8.94642857142857,5.05258703820486,NA,NA,"AM"
"105",0,-0.3,10,20,"variable",FALSE,19,20,1,2,500,2.316,2.0402244488978,579,526.189793359098,1.0523795867182,250,250,1,10.002,3.21974058876144,6.594,3.88785220778506,526.189793359098,455,"AM"
"106",1,-0.3,10,20,"variable",FALSE,19,20,1,2,579,1.62694300518135,1.50418631335497,471,605.868945359386,1.04640577782277,284,295,0.96271186440678,10.0811744386874,3.60583552444924,7.34369602763385,4.33513937198898,605.868945359386,472,"AM"
"107",2,-0.3,10,20,"variable",FALSE,19,20,1,2,471,1.91507430997877,1.86511270723224,451,476.446165806018,1.01156298472615,225,246,0.914634146341463,10.3290870488323,3.89762380077995,7.91932059447983,4.40428567458827,476.446165806018,403,"AM"
"108",3,-0.3,10,20,"variable",FALSE,19,20,1,2,451,2.26607538802661,2.30237989652624,511,446.957482436839,0.991036546423147,211,240,0.879166666666667,10.6252771618625,3.96923497816638,8.35476718403548,4.66934143597106,446.957482436839,400,"AM"
"109",4,-0.3,10,20,"variable",FALSE,19,20,1,2,511,1.59295499021526,1.58300909404858,407,511.75030590068,1.00146830900329,264,247,1.06882591093117,10.5636007827789,4.22218300904659,8.80039138943249,4.90650626903529,511.75030590068,413,"AM"
"110",5,-0.3,10,20,"variable",FALSE,19,20,1,2,407,0.707616707616708,0.714794059621646,144,398.462047066854,0.979022228665489,192,215,0.893023255813953,10.5773955773956,4.33149538999829,8.91400491400491,5.05438164592227,398.462047066854,204,"AM"
"111",6,-0.3,10,20,"variable",FALSE,19,20,1,2,144,1.47222222222222,1.24397824397824,106,159.430474669368,1.10715607409283,65,79,0.822784810126582,10.8333333333333,4.09673245199351,8.9375,4.71453451194661,159.430474669368,112,"AM"
"112",7,-0.3,10,20,"variable",FALSE,19,20,1,2,106,1.20754716981132,1.23270440251572,64,102.57408,0.96768,48,58,0.827586206896552,11.377358490566,4.39794937104335,9.14150943396226,5.41855485784994,102.57408,75,"AM"
"113",8,-0.3,10,20,"variable",FALSE,19,20,1,2,64,NA,NA,NA,NA,NA,30,34,0.882352941176471,10.984375,4.72914700016888,9.984375,5.17776745264316,NA,NA,"AM"
"114",0,-0.3,10,20,"variable",FALSE,2,20,1,2,500,2.2,2.14028056112224,550,505.325988530033,1.01065197706007,250,250,1,9.788,3.25025912332194,6.574,3.92470771667428,505.325988530033,442,"AM"
"115",1,-0.3,10,20,"variable",FALSE,2,20,1,2,550,2.39636363636364,2.55663520450406,659,534.254656515716,0.971372102755847,258,292,0.883561643835616,10.08,3.83884849158545,7.45454545454545,4.49658110082436,534.254656515716,496,"AM"
"116",2,-0.3,10,20,"variable",FALSE,2,20,1,2,659,1.10773899848255,1.0172500472762,365,709.516369571538,1.07665609950157,335,324,1.03395061728395,9.85735963581184,4.12910784791408,8.51289833080425,4.9677746273363,709.516369571538,450,"AM"
"117",3,-0.3,10,20,"variable",FALSE,2,20,1,2,365,0.964383561643836,0.941035676652115,176,372.27175453809,1.01992261517285,192,173,1.10982658959538,10.0082191780822,4.02702933023268,9.04109589041096,4.90357112569358,372.27175453809,228,"AM"
"118",4,-0.3,10,20,"variable",FALSE,2,20,1,2,176,1.68181818181818,1.57818181818182,148,181.459464377787,1.0310196839647,88,88,1,10.3863636363636,4.09021639157027,9.44886363636364,5.01400311853984,181.459464377787,148,"AM"
"119",5,-0.3,10,20,"variable",FALSE,2,20,1,2,148,1.54054054054054,1.24324324324324,114,167.710767065447,1.13318085855032,77,71,1.08450704225352,10.2027027027027,3.93477338931974,9.25,4.86396579606663,167.710767065447,125,"AM"
"120",6,-0.3,10,20,"variable",FALSE,2,20,1,2,114,1.14035087719298,0.900481291724887,65,137.633860694473,1.20731456749538,60,54,1.11111111111111,10.280701754386,4.45530164831956,8.99122807017544,5.11720266163722,137.633860694473,80,"AM"
"121",7,-0.3,10,20,"variable",FALSE,2,20,1,2,65,1.66153846153846,1.60240384615385,54,65.192729423167,1.00296506804872,33,32,1.03125,11.4923076923077,4.95013597326843,8.12307692307692,5.17961054372,65.192729423167,54,"AM"
"122",8,-0.3,10,20,"variable",FALSE,2,20,1,2,54,NA,NA,NA,NA,NA,29,25,1.16,12.2037037037037,4.77564429963013,7.07407407407407,4.66157254158371,NA,NA,"AM"
"123",0,-0.3,10,20,"variable",FALSE,20,20,1,2,500,2.72,2.69498997995992,680,500.95817663778,1.00191635327556,250,250,1,10.082,3.23236327548272,6.494,3.94119652645237,500.95817663778,468,"AM"
"124",1,-0.3,10,20,"variable",FALSE,20,20,1,2,680,2.24411764705882,2.22897860174998,763,681.156423478201,1.00170062276206,334,346,0.965317919075145,10.0926470588235,3.96099599859366,7.81470588235294,4.47750932454244,681.156423478201,610,"AM"
"125",2,-0.3,10,20,"variable",FALSE,20,20,1,2,763,1.54390563564875,1.36125874173985,589,824.913634745841,1.0811449996669,380,383,0.992167101827676,9.99868938401048,4.18455457219709,8.42857142857143,4.78197308562857,824.913634745841,615,"AM"
"126",3,-0.3,10,20,"variable",FALSE,20,20,1,2,589,1.15789473684211,1.21822413175797,341,561.984680461873,0.954133583127118,299,290,1.03103448275862,9.65874363327674,4.25393124908236,9,5.07126089595378,561.984680461873,404,"AM"
"127",4,-0.3,10,20,"variable",FALSE,20,20,1,2,341,1.36656891495601,1.53287907538382,233,311.771808552565,0.914286828599898,170,171,0.994152046783626,9.56011730205279,4.29637932221044,8.75073313782991,5.24343071255821,311.771808552565,250,"AM"
"128",5,-0.3,10,20,"variable",FALSE,20,20,1,2,233,2.00858369098712,1.9395811750777,234,236.041408381523,1.01305325485632,104,129,0.806201550387597,9.48497854077253,4.41890405398563,9.10729613733906,5.60876684329469,236.041408381523,199,"AM"
"129",6,-0.3,10,20,"variable",FALSE,20,20,1,2,234,1.99145299145299,2.33469058361762,233,214.436736154392,0.916396308352104,109,125,0.872,9.44017094017094,4.88830714580927,9.57264957264957,5.27495701313362,214.436736154392,202,"AM"
"130",7,-0.3,10,20,"variable",FALSE,20,20,1,2,233,1.51931330472103,1.66449607814119,177,217.974005478499,0.935510753126604,116,117,0.991452991452991,9.93562231759657,4.38160060442998,9.93562231759657,5.2077670502668,217.974005478499,183,"AM"
"131",8,-0.3,10,20,"variable",FALSE,20,20,1,2,177,0.745762711864407,0.702041602465331,66,189.190890269151,1.06887508626639,92,85,1.08235294117647,10.0621468926554,4.11090317450048,9.42372881355932,4.99500906529745,189.190890269151,95,"AM"
"132",9,-0.3,10,20,"variable",FALSE,20,20,1,2,66,2,1.87692307692308,66,67.0634920634921,1.01611351611352,37,29,1.27586206896552,9.37878787878788,4.20536343079663,9.37878787878788,5.56020240781312,67.0634920634921,57,"AM"
"133",10,-0.3,10,20,"variable",FALSE,20,20,1,2,66,2.33333333333333,3.02564102564103,77,57.7938718662953,0.875664725246898,34,32,1.0625,9.5,4.43846820423443,9.36363636363636,4.82505117911913,57.7938718662953,56,"AM"
"134",11,-0.3,10,20,"variable",FALSE,20,20,1,2,77,NA,NA,NA,NA,NA,39,38,1.02631578947368,10.2727272727273,4.03483634193756,9.27272727272727,5.02791251974615,NA,NA,"AM"
"135",0,-0.3,10,20,"variable",FALSE,21,20,1,2,500,1.844,2.03974348697395,461,471.758203939915,0.94351640787983,250,250,1,10.05,3.05518711974788,6.332,4.2437949515949,471.758203939915,412,"AM"
"136",1,-0.3,10,20,"variable",FALSE,21,20,1,2,461,0.572668112798265,0.562642648307083,132,471.934721905746,1.02371957029446,221,240,0.920833333333333,9.9002169197397,3.72167855371623,7.43383947939263,4.84122516476111,471.934721905746,199,"AM"
"137",2,-0.3,10,20,"variable",FALSE,21,20,1,2,132,2.42424242424242,2.41406430719408,160,131.402572202813,0.995474031839493,62,70,0.885714285714286,10.1439393939394,3.93871482073112,7.86363636363636,4.69980140440051,131.402572202813,123,"AM"
"138",3,-0.3,10,20,"variable",FALSE,21,20,1,2,160,1.9,1.88930817610063,152,159.419525065963,0.996372031662269,77,83,0.927710843373494,9.9375,4.4349774697548,8.0625,4.74863436178095,159.419525065963,139,"AM"
