"","G","rho","var_entry_day","var_RLS","PopSize","assortative","iter","var_env_entry","var_env_RLS","OMEGA","Nc","meanK","varK","S","Ne","Ne_N","Nm","Nf","sex_ratio","mean_entry_day","sd_entry_day","mean_RLS","sd_RLS","Nb","breeders","sim"
"9910",9,0,20,20,"variable",TRUE,8,20,1,2,2061,1.893256,4.406076,1951,1210.991,0.5875743,1047,1014,1.032544,8.665696,4.66669,7.152838,4.088989,1210.991,1376,"TC"
"9911",10,0,20,20,"variable",TRUE,8,20,1,2,1951,2.499231,5.326025,2438,1342.59,0.6881548,937,1014,0.9240631,11.0123,5.017391,6.948744,4.037191,1342.59,1543,"TC"
"9912",11,0,20,20,"variable",TRUE,8,20,1,2,2438,NA,NA,NA,NA,NA,1212,1226,0.9885808,11.59844,5.104645,6.682527,4.044392,NA,NA,"TC"
"9913",0,0,20,20,"variable",TRUE,80,20,1,2,500,2.54,5.635671,635,337.3446,0.6746891,250,250,1,9.898,4.507353,6.38,3.590736,337.3446,387,"TC"
"9914",1,0,20,20,"variable",TRUE,80,20,1,2,635,2.251969,5.409598,715,390.7904,0.615418,323,312,1.035256,8.469291,4.448115,6.858268,3.968179,390.7904,459,"TC"
"9915",2,0,20,20,"variable",TRUE,80,20,1,2,715,2.355245,4.456257,842,517.9685,0.7244314,365,350,1.042857,7.092308,4.125807,7.551049,4.333261,517.9685,580,"TC"
"9916",3,0,20,20,"variable",TRUE,80,20,1,2,842,1.961995,4.348138,826,519.1656,0.6165862,404,438,0.9223744,8.349169,4.57483,7.157957,4.063116,519.1656,576,"TC"
"9917",4,0,20,20,"variable",TRUE,80,20,1,2,826,1.992736,4.319947,823,520.1572,0.6297302,406,420,0.9666667,10.58354,4.915866,7.232446,3.925885,520.1572,567,"TC"
"9918",5,0,20,20,"variable",TRUE,80,20,1,2,823,2.838396,6.787721,1168,551.8005,0.6704745,380,443,0.8577878,8.522479,4.494567,7.945322,4.425174,551.8005,667,"TC"
"9919",6,0,20,20,"variable",TRUE,80,20,1,2,1168,2.178082,4.093367,1272,831.4182,0.7118306,581,587,0.9897785,8.232021,4.479805,7.9375,4.30882,831.4182,883,"TC"
"9920",7,0,20,20,"variable",TRUE,80,20,1,2,1272,2.361635,5.404916,1502,822.4054,0.6465451,618,654,0.9449541,10.04717,4.894896,7.987421,4.261496,822.4054,964,"TC"
"9921",8,0,20,20,"variable",TRUE,80,20,1,2,1502,1.896138,4.474216,1424,874.1365,0.5819817,768,734,1.046322,12.01864,5.219338,7.44474,4.095212,874.1365,997,"TC"
"9922",9,0,20,20,"variable",TRUE,80,20,1,2,1424,2.292135,4.787401,1632,964.873,0.6775793,713,711,1.002813,9.344101,4.812682,8.017556,4.2696,964.873,1076,"TC"
"9923",10,0,20,20,"variable",TRUE,80,20,1,2,1632,1.970588,4.651495,1608,964.8614,0.5912141,818,814,1.004914,11.32721,5.097893,7.65625,4.106503,964.8614,1095,"TC"
"9924",11,0,20,20,"variable",TRUE,80,20,1,2,1608,NA,NA,NA,NA,NA,816,792,1.030303,14.19403,5.164829,7.044776,3.893477,NA,NA,"TC"
"9925",0,0,20,20,"variable",TRUE,81,20,1,2,500,1.688,4.130918,422,268.5612,0.5371223,250,250,1,10.036,4.212623,5.842,3.434039,268.5612,302,"TC"
"9926",1,0,20,20,"variable",TRUE,81,20,1,2,422,2.554502,5.677545,539,284.8772,0.6750644,217,205,1.058537,13.16825,4.887585,6.670616,3.789351,284.8772,334,"TC"
"9927",2,0,20,20,"variable",TRUE,81,20,1,2,539,2.178108,4.693126,587,351.6575,0.6524258,267,272,0.9816176,13.96846,5.090348,6.693878,3.714858,351.6575,399,"TC"
"9928",3,0,20,20,"variable",TRUE,81,20,1,2,587,2.074957,5.117239,609,343.3915,0.5849941,303,284,1.066901,11.69336,5.051409,6.475298,3.917318,343.3915,398,"TC"
"9929",4,0,20,20,"variable",TRUE,81,20,1,2,609,1.825944,3.555181,556,400.2912,0.6572926,312,297,1.050505,9.331691,4.788109,7.318555,4.107559,400.2912,409,"TC"
"9930",5,0,20,20,"variable",TRUE,81,20,1,2,556,2.618705,5.926424,728,374.5668,0.6736813,280,276,1.014493,11.8705,5.310991,6.960432,3.806379,374.5668,432,"TC"
"9931",6,0,20,20,"variable",TRUE,81,20,1,2,728,1.296703,2.764666,472,387.8497,0.5327605,363,365,0.9945205,12.06181,4.829731,7.504121,3.869606,387.8497,395,"TC"
"9932",7,0,20,20,"variable",TRUE,81,20,1,2,472,2.360169,5.661935,557,295.8138,0.6267241,221,251,0.8804781,9.059322,4.84633,7.692797,4.222691,295.8138,343,"TC"
"9933",8,0,20,20,"variable",TRUE,81,20,1,2,557,0.7648115,1.766529,213,204.3798,0.3669296,286,271,1.055351,7.450628,4.679646,7.082585,3.982922,204.3798,193,"TC"
"9934",9,0,20,20,"variable",TRUE,81,20,1,2,213,2.704225,6.79418,288,136.1268,0.639093,99,114,0.8684211,12.52113,5.558079,6.830986,3.924954,136.1268,168,"TC"
"9935",10,0,20,20,"variable",TRUE,81,20,1,2,288,2.097222,5.084592,302,170.942,0.5935485,160,128,1.25,13.45139,5.282051,6.767361,4.166154,170.942,196,"TC"
"9936",11,0,20,20,"variable",TRUE,81,20,1,2,302,NA,NA,NA,NA,NA,143,159,0.8993711,14.64238,4.841466,6.917219,3.792338,NA,NA,"TC"
"9937",0,0,20,20,"variable",TRUE,82,20,1,2,500,2.78,5.173948,695,381.2001,0.7624002,250,250,1,10.034,4.235649,5.992,3.561644,381.2001,415,"TC"
"9938",1,0,20,20,"variable",TRUE,82,20,1,2,695,2.566906,5.825128,892,464.5192,0.6683729,352,343,1.026239,10.50504,4.854917,6.677698,3.986614,464.5192,538,"TC"
"9939",2,0,20,20,"variable",TRUE,82,20,1,2,892,2.383408,4.811307,1063,624.3249,0.6999158,469,423,1.108747,9.770179,4.890024,7.174888,4.070743,624.3249,698,"TC"
"9940",3,0,20,20,"variable",TRUE,82,20,1,2,1063,2.338664,5.090472,1243,706.6209,0.6647421,533,530,1.00566,10.00188,4.784036,7.163688,4.109554,706.6209,800,"TC"
